"STN","STARTT","STOPT","LOCATIE","STN_HOOGTE","STN_POS_X","STN_POS_Y","STN_POS_NB","STN_POS_OL"
221,18800302,99991231,"Enkhuizen",-1.2,148.0,524.3,52.7,5.2
222,18830401,99991231,"Hoorn NH",-3.1,130.1,518.4,52.6,5.0
223,18830401,99991231,"Schellingwoude",-1.2,128.1,489.4,52.3,4.9
224,18851001,99991231,"Edam",1.4,132.0,502.3,52.5,5.0
225,18981101,99991231,"Overveen",4.14,101.0,489.9,52.3,4.5
226,19100101,99991231,"Wijk,aan,Zee",5.6,101.3,498.6,52.4,4.5
227,19110512,99991231,"Anna Paulowna",-1.7,118.0,541.1,52.8,4.8
228,19110515,99991231,"Schagen",0.4,116.2,531.8,52.7,4.8
229,19120327,99991231,"Zandvoort",8.8,95.4,484.6,52.3,4.5
233,19491013,99991231,"Zaandam,(Hembrug)",-1.4,115.2,494.3,52.4,4.8
234,19270618,99991231,"Bergen NH",9.2,107.5,521.5,52.6,4.6
235,19270701,99991231,"Castricum",3.74,104.9,506.5,52.5,4.6
236,19300201,99991231,"Medemblik",-0.9,135.8,529.9,52.7,5.1
238,19330901,99991231,"De Haukes",-2.5,124.8,543.4,52.8,4.9
239,19330619,99991231,"Den Oever",1.35,130.6,549.0,52.9,5.0
240,19331119,99991231,"Kreileroord",-3.1,135.4,541.7,52.8,5.0
242,19340111,99991231,"Purmerend",-1.71,123.7,502.4,52.5,4.9
249,19520501,99991231,"Hoogkarspel",-0.67,139.6,521.8,52.6,5.1
251,19510101,99991231,"West Beemster",-3.1,122.0,510.2,52.5,4.9
252,19340601,99991231,"Kolhorn",-1.3,121.5,533.7,52.7,4.8
255,19510101,99991231,"Obdam,(nieuw)",-2,120.3,520.9,52.6,4.8
256,19910201,99991231,"Marken,(nieuw)",-0.7,136.7,496.4,52.4,5.1
257,19950601,99991231,"Hoogwoud",-1,126.1,526.4,52.7,4.9
263,20060301,99991231,"Assendelft",-1.3,110.0,498.3,52.4,4.7
264,20200131,99991231,"Krommenie",-1,112.4,503.3,52.5,4.7
298,19950501,99991231,"Steenwijksmoer",11.84,243.1,521.7,52.6,6.6
317,19430107,99991231,"Marknesse",-1.7,186.7,522.7,52.6,5.8
323,19950601,99991231,"Laaghalen",15.64,231.7,548.5,52.9,6.5
327,18911001,99991231,"Dwingelo",12,223.9,537.6,52.8,6.4
328,18920831,99991231,"Heerde",12,199.0,490.3,52.4,6.0
329,18950301,99991231,"Wapenveld",3.5,202.1,492.5,52.4,6.0
330,19491029,99991231,"Zwolle",1.9,206.0,504.8,52.5,6.1
331,19040901,99991231,"Denekamp",24.2,266.9,489.1,52.3,7.0
332,19130610,99991231,"Hoogeveen",11.31,227.9,525.4,52.7,6.4
333,19180307,99991231,"Emmen",19.19,255.2,533.8,52.7,6.8
335,19240401,99991231,"IJsselmuiden",-2.4,193.3,509.5,52.5,5.9
336,19270701,99991231,"Oldebroek",4.4,190.9,493.7,52.4,5.9
337,19270501,99991231,"Schoonlo",21.12,243.5,546.6,52.9,6.7
338,19300604,99991231,"Giethoorn",-0.12,200.7,526.1,52.7,6.0
